20240812	12:30:41	96b27f21-411d-4257-9eaf-ce608c20a6f0	GET	undefined	/
20240812	12:31:28	73bdbc20-e567-4635-955c-191792bf3db4	GET	undefined	/
20240812	12:31:28	559ea41e-fcf0-4b10-b3a1-41ad6b732aa2	GET	undefined	/favicon.ico
20240812	12:32:02	eecbfa69-e942-4597-a893-b3465d69089e	GET	undefined	/
20240812	12:32:02	49da5582-4953-41ee-8496-36aa910cd7e5	GET	undefined	/css/style.css
20240812	12:32:02	2a5d3241-21bb-4dde-8f0c-3cb9bd772a9b	GET	undefined	/favicon.ico
20240812	12:35:39	81fa6edb-c5a5-49c6-80f8-c5e97f528b3d	GET	undefined	/
20240812	12:35:39	d991d0a3-fe38-4340-ace4-512349e12dff	GET	undefined	/favicon.ico
20240812	12:36:25	23980a81-a209-4d1c-9de0-9b6940d07b9b	GET	undefined	/
20240812	12:36:25	772a2526-d60e-4792-bbbf-febfb7f63ce9	GET	undefined	/css/style.css
20240812	12:36:25	4880a71a-2a4e-4f9c-b8d7-59d3ad2a8e13	GET	undefined	/favicon.ico
20240812	12:37:26	62a619bc-ac72-4648-9be5-66207b2aaa90	GET	undefined	/Michael
20240812	12:37:26	ea719792-df21-4757-8967-a05fbbea4cb6	GET	undefined	/css/style.css
20240812	12:39:31	c5521f38-6aa5-4f9d-90a8-a91762460f88	GET	undefined	/Michael
20240812	12:39:31	22cfef1a-5514-4a27-81f2-db91728e90e2	GET	undefined	/favicon.ico
20240812	12:39:41	1572b3f5-515a-43ca-8c8c-f5f8264e92af	GET	undefined	/Michael
20240812	12:39:41	06aff5ae-e6b3-4820-bab5-1a3cd563b805	GET	undefined	/css/style.css
20240812	12:39:41	4edcfc43-d318-406a-a35b-0a75eb543b25	GET	undefined	/favicon.ico
20240812	12:45:17	2d8a0c40-4524-4257-936b-773d1e1d12ff	GET	undefined	/subdir
20240812	12:45:29	2a6cc1c8-2c59-48b5-86ca-5bbef1446b97	GET	undefined	/subdir/test
20240812	12:45:39	9c909344-9da1-4a3e-8bbd-62565cfb7949	GET	undefined	/subdir/hi
20240812	12:45:39	6dd03257-89f7-462c-b668-4aa4bea8f850	GET	undefined	/subdir/css/style.css
20240812	12:49:41	b4b0a43a-7347-424c-90cb-26a6e448b72b	GET	undefined	/subdir/hi
20240812	12:49:41	a2c9ec62-d64e-432b-8595-ba1874e6466c	GET	undefined	/subdir/css/style.css
20240812	12:49:41	a9f1da2e-9402-460f-8152-5ed4f4fa658c	GET	undefined	/favicon.ico
20240812	12:49:59	bd5c6520-209a-4089-8977-62ecde9400ae	GET	undefined	/subdir/hi
20240812	12:49:59	e7a92ad1-00ef-4077-b7dc-e286481ac741	GET	undefined	/subdir/css/style.css
20240812	12:49:59	e07f9286-7567-4333-a01c-1a3baa66267e	GET	undefined	/favicon.ico
20240812	12:58:33	ef748f30-3a83-4742-95a4-4ccc0aeae083	GET	undefined	/subdir/hi
20240812	12:58:33	dbdac883-9ca6-4d91-a05d-ffdf9f239cd1	GET	undefined	/subdir/css/style.css
20240812	12:58:33	a28ae387-ad73-4ab5-b0be-e998d5c70ff5	GET	undefined	/favicon.ico
20240812	12:58:38	ab7e7de2-739a-4451-8713-b74bd1c582bc	GET	undefined	/
20240812	12:58:38	fe299f21-b198-4a88-a836-3d4a76d013e1	GET	undefined	/css/style.css
20240812	12:58:49	02225f43-88ac-4b14-85f9-f97202b05d47	GET	undefined	/new-page.html
20240812	12:58:49	107fc603-669b-4a6f-b62a-65b728542b52	GET	undefined	/css/style.css
20240812	12:58:49	da8640f8-52af-4e17-b5a0-8cebcf5db9d3	GET	undefined	/img/img1.jpg
20240812	12:59:07	45e2a840-d35b-471f-8558-58a69e36c58a	GET	undefined	/old-page
20240812	12:59:07	3396b154-8526-482b-bfef-1f712bc1b0b0	GET	undefined	/css/style.css
20240812	12:59:11	4c48ba37-8af3-4aa7-bc82-6a5b2c57aef9	GET	undefined	/old-page.html
20240812	13:01:33	e52b31d6-1f9e-4236-b532-ed9f0bf2dd68	GET	undefined	/old-page.html
20240812	13:01:33	869d3fc7-b950-497f-8d98-da1e449a9981	GET	undefined	/__dirname%5Cnew-page.html
20240812	13:01:33	b119d9f8-49ff-4135-8b10-e75284f83242	GET	undefined	/css/style.css
20240812	13:01:41	06523f88-a6da-4f9c-8303-cd5853004b0b	GET	undefined	/__dirname%5Cnew-page.html
20240812	13:01:41	19d7a6a7-15bd-48b9-b74b-c0f28e8172f2	GET	undefined	/css/style.css
20240812	13:02:11	b7fe5551-297d-4828-a4fc-ae97dde8fb07	GET	undefined	/__dirname%5Cnew-page.html
20240812	13:02:11	3e2d6285-c7a2-407d-8d02-69d6ed8da4f2	GET	undefined	/css/style.css
20240812	13:02:31	65478cb9-d5fa-46b1-9d4d-daa5d4ce532f	GET	undefined	/__dirname%5Cnew-page.html
20240812	13:02:31	6b1d0e5e-da71-486f-8b44-86081a2a23ee	GET	undefined	/css/style.css
20240812	13:04:01	35036af9-df0e-410a-8233-169b97d3ef3b	GET	undefined	/__dirname%5Cnew-page.html
20240812	13:04:01	7c410695-e65d-4ff1-a5c3-cb0921303617	GET	undefined	/css/style.css
20240812	13:05:04	a51b3224-a5cf-4afd-a932-304bd7b67b6a	GET	undefined	/__dirname%5Cnew-page.html
20240812	13:05:04	0a8d734d-0a15-429c-984e-c2f4322edc94	GET	undefined	/css/style.css
20240812	13:05:09	76f201ec-509a-42eb-8467-75737d114330	GET	undefined	/__dirname%5Cnew-page.html
20240812	13:05:10	74271ed5-2c6d-43d9-b8da-930e0a2dea1c	GET	undefined	/css/style.css
20240812	13:06:21	ba991a51-4a0c-4ed4-83f4-3d530fd805de	GET	undefined	/__dirname%5Cnew-page.html
20240812	13:06:21	ae49de2a-bed4-4552-9f82-5f869b710d4d	GET	undefined	/css/style.css
20240812	13:07:55	73b2dc38-ec82-47a0-ad48-74f214cd3906	GET	undefined	/__dirname%5Cnew-page.html
20240812	13:07:55	6e7598b0-a12c-4683-9384-2e9f8881b2a2	GET	undefined	/css/style.css
